restaurant_id,nombre,ciudad,vertical,rating_actual,rating_prom_30d,delta_rating,tasa_cancelacion_pct,tiempo_entrega_avg_min,ordenes_7d,ordenes_7d_anterior,var_ordenes_pct,quejas_7d,nps_score,valor_ticket_prom_mxn,kam_asignado,activo_desde,semaforo_riesgo,rating_score,cancel_score,delivery_score,orders_score,complaints_score,nps_risk_score,drop_rating_flag,high_cancel_flag,delivery_delay_flag,order_drop_flag,complaint_spike_flag,low_nps_flag,risk_score,risk_level,risk_drivers,recommended_action,urgency
R0001,El Rincón Casero,Guadalajara,Comida,4.9,4.7,0.17,9.0,20,382,362,5.5,0,67,254.34,Isabella Moreno,2026-07-16,🟢 ESTABLE,0,10,0,0,0,0,0,1,0,0,0,0,10,Stable,High cancellation rate,"Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0002,Parrilla Fusión,CDMX,Comida,4.7,4.5,0.22,1.1,23,437,414,5.6,2,69,253.21,Diego Vargas,2024-09-26,🟢 ESTABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,Stable,No major risk signals,No immediate action required. Keep under routine monitoring.,Low
R0003,Pizzería 100% Natural,CDMX,Bebidas,3.6,3.7,-0.12,18.8,52,45,48,-5.4,11,32,208.33,Fernando Castro,2026-03-11,🟡 EN RIESGO,0,20,15,0,10,5,0,1,1,0,1,1,50,At Risk,"High cancellation rate, Delivery delays, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0004,El Asadero El Centro,Querétaro,Comida,3.7,3.8,-0.06,20.3,38,78,93,-15.8,15,56,178.37,Diego Vargas,2026-02-26,🟡 EN RIESGO,0,20,8,10,10,0,0,1,1,1,1,0,48,At Risk,"High cancellation rate, Delivery delays, Order volume decline","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0005,El Asadero El Portal,Bogotá,Mercado,3.3,3.6,-0.31,15.5,43,111,123,-9.7,8,51,171.89,Ana Torres,2025-06-13,🟡 EN RIESGO,10,20,8,0,10,0,1,1,1,0,1,0,48,At Risk,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Soon
R0006,El Mercado de El Torito,CDMX,Farmacia,4.9,4.8,0.13,7.5,24,415,386,7.5,5,79,228.58,María López,2025-07-19,🟢 ESTABLE,0,10,0,0,5,0,0,1,0,0,1,0,15,Stable,"High cancellation rate, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0007,Burritos La Plaza,Tijuana,Mercado,4.5,4.2,0.3,5.6,20,104,89,16.5,1,85,234.39,Paula Herrera,2026-07-05,🟢 ESTABLE,0,10,0,0,0,0,0,1,0,0,0,0,10,Stable,High cancellation rate,"Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0008,El Mercado de El Portal,CDMX,Bebidas,2.5,2.8,-0.32,38.9,55,48,64,-25.5,36,28,133.7,Sofía Ramírez,2026-10-04,🔴 CRÍTICO,10,20,15,20,10,10,1,1,1,1,1,1,85,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0009,Los Tacos de Fusión,Lima,Comida,4.2,4.0,0.19,7.5,34,171,159,7.7,0,92,392.6,Isabella Moreno,2026-07-31,🟢 ESTABLE,0,10,0,0,0,0,0,1,0,0,0,0,10,Stable,High cancellation rate,"Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0010,Carnitas Premium,Bogotá,Comida,4.8,4.7,0.11,1.0,28,330,346,-4.5,2,93,515.01,Sofía Ramírez,2025-07-04,🟢 ESTABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,Stable,No major risk signals,No immediate action required. Keep under routine monitoring.,Low
R0011,El Asadero La Familia,CDMX,Comida,3.8,3.9,-0.06,16.4,39,46,51,-10.1,13,35,162.41,Fernando Castro,2026-07-15,🟡 EN RIESGO,0,20,8,10,10,5,0,1,1,1,1,1,53,At Risk,"High cancellation rate, Delivery delays, Order volume decline","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0012,Los Tacos de El Rey,Bogotá,Comida,2.4,3.0,-0.64,31.4,62,20,33,-38.9,25,0,138.83,Juan Pérez,2026-06-19,🔴 CRÍTICO,25,20,15,20,10,10,1,1,1,1,1,1,100,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0013,Tortas La Familia 2,Bogotá,Comida,1.3,2.1,-0.76,34.7,68,39,67,-41.4,44,28,137.1,Roberto Sánchez,2025-07-11,🔴 CRÍTICO,25,20,15,20,10,10,1,1,1,1,1,1,100,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0014,La Fonda de Express,Barranquilla,Bebidas,4.5,4.4,0.07,5.2,19,424,381,11.3,5,68,200.61,Diego Vargas,2024-10-10,🟢 ESTABLE,0,10,0,0,5,0,0,1,0,0,1,0,15,Stable,"High cancellation rate, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0015,La Fonda de Del Norte,Bogotá,Comida,4.4,4.4,0.01,3.2,20,306,266,15.2,4,68,197.2,Isabella Moreno,2024-03-31,🟢 ESTABLE,0,0,0,0,5,0,0,0,0,0,1,0,5,Stable,Complaint spike,No immediate action required. Keep under routine monitoring.,Low
R0016,Burger Fusión,CDMX,Comida,4.3,4.2,0.06,1.5,30,81,68,19.6,2,94,446.58,Roberto Sánchez,2025-10-06,🟢 ESTABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,Stable,No major risk signals,No immediate action required. Keep under routine monitoring.,Low
R0017,Sushi Del Barrio,São Paulo,Comida,5.0,4.9,0.13,5.9,28,109,113,-3.7,3,81,492.59,Isabella Moreno,2025-01-17,🟢 ESTABLE,0,10,0,0,5,0,0,1,0,0,1,0,15,Stable,"High cancellation rate, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0018,Burger La Familia,CDMX,Comida,3.4,3.7,-0.32,11.4,53,61,69,-11.3,5,49,133.12,Fernando Castro,2026-05-02,🟡 EN RIESGO,10,20,15,10,5,5,1,1,1,1,1,1,65,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0019,El Rincón Del Barrio,Puebla,Farmacia,3.2,3.5,-0.31,11.6,55,68,78,-13.1,17,59,131.61,Roberto Sánchez,2026-08-25,🟡 EN RIESGO,10,20,15,10,10,0,1,1,1,1,1,0,65,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0020,El Asadero Del Norte,Querétaro,Comida,4.5,4.2,0.27,8.9,25,269,263,2.1,3,91,364.69,Sofía Ramírez,2026-08-05,🟢 ESTABLE,0,10,0,0,5,0,0,1,0,0,1,0,15,Stable,"High cancellation rate, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0021,Parrilla La Abuela,Puebla,Comida,1.8,2.2,-0.37,25.8,61,40,68,-40.8,24,19,101.06,Diego Vargas,2025-04-21,🔴 CRÍTICO,10,20,15,20,10,10,1,1,1,1,1,1,85,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0022,El Rincón El Centro,Medellín,Comida,4.4,4.4,0.01,1.0,22,406,340,19.5,1,88,330.22,Paula Herrera,2026-04-23,🟢 ESTABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,Stable,No major risk signals,No immediate action required. Keep under routine monitoring.,Low
R0023,El Asadero Artesanal,CDMX,Comida,4.9,4.8,0.13,2.3,22,101,98,2.7,0,93,301.66,Juan Pérez,2024-09-27,🟢 ESTABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,Stable,No major risk signals,No immediate action required. Keep under routine monitoring.,Low
R0024,Sushi Casero,Santiago,Bebidas,3.1,3.5,-0.41,39.4,56,16,21,-25.1,25,25,173.08,Juan Pérez,2025-08-29,🔴 CRÍTICO,10,20,15,20,10,10,1,1,1,1,1,1,85,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0025,El Mercado de El Centro,Monterrey,Comida,1.9,2.3,-0.41,30.1,74,19,31,-39.0,36,6,119.85,Sofía Ramírez,2024-07-21,🔴 CRÍTICO,10,20,15,20,10,10,1,1,1,1,1,1,85,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0026,El Fogón El Rey,Medellín,Farmacia,3.6,3.9,-0.28,10.3,43,52,59,-11.3,9,31,137.34,Paula Herrera,2026-02-06,🟡 EN RIESGO,10,20,8,10,10,5,1,1,1,1,1,1,63,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0027,El Fogón Express,Lima,Bebidas,4.5,4.5,0.0,7.4,18,346,293,18.1,4,86,424.61,Juan Pérez,2026-03-16,🟢 ESTABLE,0,10,0,0,5,0,0,1,0,0,1,0,15,Stable,"High cancellation rate, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0028,Café El Portal,São Paulo,Comida,5.0,4.8,0.19,3.7,27,421,400,5.2,3,87,280.52,María López,2025-03-28,🟢 ESTABLE,0,0,0,0,5,0,0,0,0,0,1,0,5,Stable,Complaint spike,No immediate action required. Keep under routine monitoring.,Low
R0029,Burger El Portal,São Paulo,Bebidas,3.4,3.5,-0.11,13.6,41,85,93,-8.2,14,50,171.56,Roberto Sánchez,2026-08-23,🟡 EN RIESGO,0,20,8,0,10,5,0,1,1,0,1,1,43,At Risk,"High cancellation rate, Delivery delays, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0030,Los Tacos de La Esquina 7,Bogotá,Comida,4.9,4.9,-0.01,3.8,24,155,162,-4.4,1,80,387.83,Carlos Mendoza,2026-09-19,🟢 ESTABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,Stable,No major risk signals,No immediate action required. Keep under routine monitoring.,Low
R0031,El Mercado de El Rápido,São Paulo,Comida,4.3,4.1,0.18,9.0,21,297,296,0.5,5,81,337.95,Isabella Moreno,2025-07-24,🟢 ESTABLE,0,10,0,0,5,0,0,1,0,0,1,0,15,Stable,"High cancellation rate, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0032,Sushi Clásico,Guadalajara,Comida,3.8,4.0,-0.19,21.4,49,108,117,-7.8,13,43,252.89,Isabella Moreno,2026-08-31,🟡 EN RIESGO,0,20,8,0,10,5,0,1,1,0,1,1,43,At Risk,"High cancellation rate, Delivery delays, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0033,Cevichería El Torito,Monterrey,Comida,3.6,3.9,-0.3,19.3,50,110,132,-16.4,12,32,234.17,Juan Pérez,2025-09-08,🟡 EN RIESGO,10,20,8,10,10,5,1,1,1,1,1,1,63,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0034,Parrilla La Familia,Lima,Farmacia,4.4,4.2,0.18,7.4,20,292,278,5.2,4,79,321.36,Juan Pérez,2026-07-09,🟢 ESTABLE,0,10,0,0,5,0,0,1,0,0,1,0,15,Stable,"High cancellation rate, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0035,Taquería 100% Natural 6,Buenos Aires,Comida,3.8,3.9,-0.07,15.0,58,99,108,-8.0,8,45,155.11,Paula Herrera,2026-11-20,🟢 ESTABLE,0,20,15,0,10,5,0,1,1,0,1,1,50,At Risk,"High cancellation rate, Delivery delays, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0036,Café El Rey,CDMX,Bebidas,3.8,3.9,-0.08,21.8,52,33,35,-6.4,14,48,226.08,Carlos Mendoza,2026-10-08,🟡 EN RIESGO,0,20,15,0,10,5,0,1,1,0,1,1,50,At Risk,"High cancellation rate, Delivery delays, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0037,Cevichería Premium,São Paulo,Comida,4.3,4.3,-0.02,3.9,30,222,195,13.8,3,73,463.87,Roberto Sánchez,2024-04-09,🟢 ESTABLE,0,0,0,0,5,0,0,0,0,0,1,0,5,Stable,Complaint spike,No immediate action required. Keep under routine monitoring.,Low
R0038,Carnitas Casero,Tijuana,Comida,3.6,3.8,-0.17,19.1,42,55,59,-7.4,14,34,158.17,Roberto Sánchez,2024-10-21,🟡 EN RIESGO,0,20,8,0,10,5,0,1,1,0,1,1,43,At Risk,"High cancellation rate, Delivery delays, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0039,Carnitas Premium 3,Querétaro,Comida,3.0,3.3,-0.29,16.9,44,103,114,-9.8,11,42,270.64,Juan Pérez,2024-08-03,🟡 EN RIESGO,10,20,8,0,10,5,1,1,1,0,1,1,53,At Risk,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Soon
R0040,Pizzería La Abuela,Querétaro,Comida,2.1,2.9,-0.83,41.6,57,27,39,-30.6,36,11,86.9,Diego Vargas,2024-03-26,🔴 CRÍTICO,25,20,15,20,10,10,1,1,1,1,1,1,100,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0041,Pizzería Fusión,São Paulo,Comida,2.6,3.0,-0.4,35.6,82,16,21,-25.2,45,20,107.01,Isabella Moreno,2026-11-16,🔴 CRÍTICO,10,20,15,20,10,10,1,1,1,1,1,1,85,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0042,El Rincón Gourmet,Cali,Bebidas,2.4,3.2,-0.85,39.4,70,34,48,-29.6,36,12,113.64,Roberto Sánchez,2025-12-26,🔴 CRÍTICO,25,20,15,20,10,10,1,1,1,1,1,1,100,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0043,La Fonda de 100% Natural,Monterrey,Comida,3.4,3.5,-0.09,18.4,43,101,126,-19.8,8,32,158.62,Paula Herrera,2026-11-26,🟡 EN RIESGO,0,20,8,10,10,5,0,1,1,1,1,1,53,At Risk,"High cancellation rate, Delivery delays, Order volume decline","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0044,Mariscos El Rápido,Tijuana,Comida,4.0,4.0,0.02,4.6,25,236,211,11.6,2,80,368.18,Diego Vargas,2026-07-20,🟢 ESTABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,Stable,No major risk signals,No immediate action required. Keep under routine monitoring.,Low
R0045,Carnitas Clásico,Tijuana,Farmacia,4.2,4.2,-0.05,2.7,21,354,298,18.8,5,70,245.12,Roberto Sánchez,2025-09-18,🟢 ESTABLE,0,0,0,0,5,0,0,0,0,0,1,0,5,Stable,Complaint spike,No immediate action required. Keep under routine monitoring.,Low
R0046,Pizzería Del Barrio,Querétaro,Mercado,4.3,4.3,0.02,7.4,22,220,229,-3.9,0,82,279.33,María López,2026-09-28,🟢 ESTABLE,0,10,0,0,0,0,0,1,0,0,0,0,10,Stable,High cancellation rate,"Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0047,Taquería La Plaza,Barranquilla,Comida,4.4,4.4,0.04,9.7,26,324,331,-2.1,0,77,347.19,Fernando Castro,2026-09-11,🟢 ESTABLE,0,10,0,0,0,0,0,1,0,0,0,0,10,Stable,High cancellation rate,"Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0048,Sushi La Plaza,CDMX,Comida,1.4,2.1,-0.75,32.3,81,43,60,-28.9,34,7,157.57,Paula Herrera,2026-09-09,🔴 CRÍTICO,25,20,15,20,10,10,1,1,1,1,1,1,100,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0049,Burritos La Abuela,Cali,Mercado,3.1,3.2,-0.06,11.2,59,56,63,-10.6,9,51,132.99,Juan Pérez,2025-02-19,🟢 ESTABLE,0,20,15,10,10,0,0,1,1,1,1,0,55,At Risk,"High cancellation rate, Delivery delays, Order volume decline","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0050,Burger Don Chuy,Tijuana,Comida,4.7,4.6,0.09,1.3,27,441,432,2.1,3,67,413.71,Sofía Ramírez,2026-09-02,🟢 ESTABLE,0,0,0,0,5,0,0,0,0,0,1,0,5,Stable,Complaint spike,No immediate action required. Keep under routine monitoring.,Low
R0051,Burritos Express,Querétaro,Comida,4.9,4.6,0.26,8.4,20,110,111,-0.9,2,84,434.65,Fernando Castro,2025-10-13,🟢 ESTABLE,0,10,0,0,0,0,0,1,0,0,0,0,10,Stable,High cancellation rate,"Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0052,Cevichería La Abuela,Cali,Comida,3.8,4.0,-0.22,15.9,37,106,132,-19.4,11,53,171.57,Sofía Ramírez,2024-04-22,🟡 EN RIESGO,10,20,8,10,10,0,1,1,1,1,1,0,58,At Risk,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Soon
R0053,Taquería El Torito,CDMX,Comida,3.5,3.8,-0.34,16.2,49,65,79,-17.3,14,43,221.57,Roberto Sánchez,2024-09-03,🔴 CRÍTICO,10,20,8,10,10,5,1,1,1,1,1,1,63,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0054,Burritos Gourmet,Barranquilla,Farmacia,4.1,4.1,-0.04,4.7,33,227,203,11.6,3,91,438.57,Ana Torres,2026-09-18,🟢 ESTABLE,0,0,0,0,5,0,0,0,0,0,1,0,5,Stable,Complaint spike,No immediate action required. Keep under routine monitoring.,Low
R0055,Pizzería El Rey 2,CDMX,Farmacia,3.3,3.6,-0.26,12.3,46,109,119,-8.7,15,44,241.6,Juan Pérez,2025-08-29,🟡 EN RIESGO,10,20,8,0,10,5,1,1,1,0,1,1,53,At Risk,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Soon
R0056,Los Tacos de Clásico,Tijuana,Comida,1.8,2.7,-0.88,33.9,70,50,84,-40.7,32,0,135.23,Carlos Mendoza,2025-06-04,🔴 CRÍTICO,25,20,15,20,10,10,1,1,1,1,1,1,100,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0057,Pizzería Artesanal,Guadalajara,Comida,4.7,4.6,0.1,3.5,33,321,318,1.1,4,69,310.42,Fernando Castro,2026-01-05,🟢 ESTABLE,0,0,0,0,5,0,0,0,0,0,1,0,5,Stable,Complaint spike,No immediate action required. Keep under routine monitoring.,Low
R0058,El Rincón Fusión,Guadalajara,Comida,4.7,4.7,0.01,1.0,27,380,347,9.5,5,80,474.19,Roberto Sánchez,2026-03-09,🟢 ESTABLE,0,0,0,0,5,0,0,0,0,0,1,0,5,Stable,Complaint spike,No immediate action required. Keep under routine monitoring.,Low
R0059,Café Del Norte,Barranquilla,Farmacia,3.4,3.5,-0.07,20.4,57,60,68,-11.4,8,57,244.09,Ana Torres,2025-12-12,🟡 EN RIESGO,0,20,15,10,10,0,0,1,1,1,1,0,55,At Risk,"High cancellation rate, Delivery delays, Order volume decline","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0060,El Mercado de Artesanal,Barranquilla,Bebidas,4.1,4.0,0.1,6.3,21,305,313,-2.5,3,65,425.63,Paula Herrera,2026-11-01,🟢 ESTABLE,0,10,0,0,5,0,0,1,0,0,1,0,15,Stable,"High cancellation rate, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0061,Mariscos El Torito,Guadalajara,Comida,4.8,4.6,0.16,8.7,35,274,230,18.9,5,87,481.73,Roberto Sánchez,2026-03-14,🟢 ESTABLE,0,10,8,0,5,0,0,1,1,0,1,0,23,Stable,"High cancellation rate, Delivery delays, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0062,Tortas La Abuela,CDMX,Comida,2.5,3.1,-0.64,22.2,95,50,64,-21.4,29,5,149.4,Ana Torres,2024-06-03,🔴 CRÍTICO,25,20,15,10,10,10,1,1,1,1,1,1,90,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
R0063,Los Tacos de 100% Natural,Lima,Comida,4.2,4.1,0.11,6.1,23,167,168,-0.6,4,92,310.07,Juan Pérez,2026-12-15,🟢 ESTABLE,0,10,0,0,5,0,0,1,0,0,1,0,15,Stable,"High cancellation rate, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Low
R0064,Tortas Clásico,Querétaro,Comida,3.4,3.6,-0.17,20.8,49,66,73,-9.8,7,32,190.68,Diego Vargas,2026-06-17,🟡 EN RIESGO,0,20,8,0,10,5,0,1,1,0,1,1,43,At Risk,"High cancellation rate, Delivery delays, Complaint spike","Review menu availability, prep flow, and operational bottlenecks with the partner.",Soon
R0065,El Rincón Clásico,Lima,Bebidas,3.1,3.4,-0.27,15.8,42,78,88,-11.4,14,39,278.83,Sofía Ramírez,2024-04-14,🟡 EN RIESGO,10,20,8,10,10,5,1,1,1,1,1,1,63,Critical,"Strong rating drop, High cancellation rate, Delivery delays",Contact the partner today to review customer experience issues and recent complaints.,Immediate
